#,patent_no,published
1,US-11240995-B2,2022-02-08
2,US-11240996-B2,2022-02-08
3,US-11240997-B2,2022-02-08
4,US-11241011-B2,2022-02-08
5,US-11241012-B2,2022-02-08
6,US-11241013-B2,2022-02-08
7,US-11241014-B2,2022-02-08
8,US-11241015-B2,2022-02-08
9,US-11241020-B2,2022-02-08
10,US-11241025-B2,2022-02-08
11,US-11241030-B2,2022-02-08
12,US-11241031-B2,2022-02-08
13,US-11241242-B2,2022-02-08
14,US-11241296-B2,2022-02-08
15,US-11241317-B2,2022-02-08
16,US-11241322-B2,2022-02-08
17,US-11241331-B2,2022-02-08
18,US-11241357-B2,2022-02-08
19,US-11241369-B2,2022-02-08
20,US-11241370-B2,2022-02-08
21,US-11241371-B1,2022-02-08
22,US-11241372-B2,2022-02-08
23,US-11241373-B2,2022-02-08
24,US-11241374-B2,2022-02-08
25,US-11241375-B2,2022-02-08
26,US-11241376-B2,2022-02-08
27,US-11241377-B2,2022-02-08
28,US-11241378-B2,2022-02-08
29,US-11241379-B2,2022-02-08
30,US-11241380-B2,2022-02-08
31,US-11241381-B2,2022-02-08
32,US-11241382-B2,2022-02-08
33,US-11241383-B2,2022-02-08
34,US-11241385-B2,2022-02-08
35,US-11241387-B2,2022-02-08
36,US-11241388-B2,2022-02-08
37,US-11241389-B2,2022-02-08
38,US-11241391-B2,2022-02-08
39,US-11241392-B2,2022-02-08
40,US-11241393-B2,2022-02-08
41,US-11241394-B2,2022-02-08
42,US-11241395-B2,2022-02-08
43,US-11241396-B2,2022-02-08
44,US-11241397-B2,2022-02-08
45,US-11241398-B2,2022-02-08
46,US-11241399-B2,2022-02-08
47,US-11241400-B2,2022-02-08
48,US-11241401-B2,2022-02-08
49,US-11241402-B2,2022-02-08
50,US-11241403-B2,2022-02-08
51,US-11241404-B2,2022-02-08
52,US-11241405-B2,2022-02-08
53,US-11241406-B2,2022-02-08
54,US-11241407-B2,2022-02-08
55,US-11241408-B2,2022-02-08
56,US-11241409-B2,2022-02-08
57,US-11241410-B2,2022-02-08
58,US-11241411-B2,2022-02-08
59,US-11241412-B2,2022-02-08
60,US-11241413-B2,2022-02-08
61,US-11241414-B2,2022-02-08
62,US-11241415-B2,2022-02-08
63,US-11241416-B2,2022-02-08
64,US-11241417-B2,2022-02-08
65,US-11241418-B2,2022-02-08
66,US-11241419-B2,2022-02-08
67,US-11241420-B2,2022-02-08
68,US-11241421-B2,2022-02-08
69,US-11241422-B2,2022-02-08
70,US-11241423-B2,2022-02-08
71,US-11241424-B2,2022-02-08
72,US-11241425-B2,2022-02-08
73,US-11241426-B2,2022-02-08
74,US-11241427-B2,2022-02-08
75,US-11241428-B2,2022-02-08
76,US-11241429-B2,2022-02-08
77,US-11241430-B2,2022-02-08
78,US-11241431-B2,2022-02-08
79,US-11241432-B2,2022-02-08
80,US-11241433-B2,2022-02-08
81,US-11241434-B2,2022-02-08
82,US-11241435-B2,2022-02-08
83,US-11241436-B2,2022-02-08
84,US-11241437-B2,2022-02-08
85,US-11241438-B2,2022-02-08
86,US-11241439-B2,2022-02-08
87,US-11241440-B2,2022-02-08
88,US-11241441-B2,2022-02-08
89,US-11241442-B2,2022-02-08
90,US-11241443-B2,2022-02-08
91,US-11241444-B2,2022-02-08
92,US-11241445-B2,2022-02-08
93,US-11241446-B2,2022-02-08
94,US-11241447-B2,2022-02-08
95,US-11241448-B2,2022-02-08
96,US-11241449-B2,2022-02-08
97,US-11241450-B2,2022-02-08
98,US-11241451-B2,2022-02-08
